"Benchmark","Mode","Threads","Samples","Score","Score Error","Unit","Param: size","Param: sparsity"
"utils.BenchmarkRunner.naiveMultiply:gc.alloc.rate","avgt",1,5,"28,546412","0,685420","MB/sec",1024,0.5
"utils.BenchmarkRunner.naiveMultiply:gc.alloc.rate.norm","avgt",1,5,"61654028,160000","8672,382307","B/op",1024,0.5
"utils.BenchmarkRunner.naiveMultiply:gc.count","avgt",1,5,"50,000000",NaN,"counts",1024,0.5
"utils.BenchmarkRunner.naiveMultiply:gc.time","avgt",1,5,"451,000000",NaN,"ms",1024,0.5
"utils.BenchmarkRunner.naiveMultiply","avgt",1,5,"1939,591495","116,341536","ms/op",1024,0.9
"utils.BenchmarkRunner.naiveMultiply:gc.alloc.rate","avgt",1,5,"10,670327","0,613177","MB/sec",1024,0.9
"utils.BenchmarkRunner.naiveMultiply:gc.alloc.rate.norm","avgt",1,5,"22394526,400000","14397,014456","B/op",1024,0.9
"utils.BenchmarkRunner.naiveMultiply:gc.count","avgt",1,5,"3,000000",NaN,"counts",1024,0.9
"utils.BenchmarkRunner.naiveMultiply:gc.time","avgt",1,5,"10,000000",NaN,"ms",1024,0.9
"utils.BenchmarkRunner.sparseMultiply","avgt",1,5,"2,807139","0,053338","ms/op",128,0.0
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate","avgt",1,5,"513,196886","6,825693","MB/sec",128,0.0
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate.norm","avgt",1,5,"2382587,058278","0,026855","B/op",128,0.0
"utils.BenchmarkRunner.sparseMultiply:gc.count","avgt",1,5,"137,000000",NaN,"counts",128,0.0
"utils.BenchmarkRunner.sparseMultiply:gc.time","avgt",1,5,"254,000000",NaN,"ms",128,0.0
"utils.BenchmarkRunner.sparseMultiply","avgt",1,5,"0,932010","0,011891","ms/op",128,0.5
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate","avgt",1,5,"686,905933","11,708110","MB/sec",128,0.5
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate.norm","avgt",1,5,"1689185,079020","50,358741","B/op",128,0.5
"utils.BenchmarkRunner.sparseMultiply:gc.count","avgt",1,5,"183,000000",NaN,"counts",128,0.5
"utils.BenchmarkRunner.sparseMultiply:gc.time","avgt",1,5,"338,000000",NaN,"ms",128,0.5
"utils.BenchmarkRunner.sparseMultiply","avgt",1,5,"0,272184","0,022702","ms/op",128,0.9
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate","avgt",1,5,"581,391491","44,675855","MB/sec",128,0.9
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate.norm","avgt",1,5,"768394,228907","115,093093","B/op",128,0.9
"utils.BenchmarkRunner.sparseMultiply:gc.count","avgt",1,5,"156,000000",NaN,"counts",128,0.9
"utils.BenchmarkRunner.sparseMultiply:gc.time","avgt",1,5,"246,000000",NaN,"ms",128,0.9
"utils.BenchmarkRunner.sparseMultiply","avgt",1,5,"23,085267","2,848826","ms/op",256,0.0
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate","avgt",1,5,"321,262406","37,769913","MB/sec",256,0.0
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate.norm","avgt",1,5,"10125340,755016","2,525823","B/op",256,0.0
"utils.BenchmarkRunner.sparseMultiply:gc.count","avgt",1,5,"85,000000",NaN,"counts",256,0.0
"utils.BenchmarkRunner.sparseMultiply:gc.time","avgt",1,5,"143,000000",NaN,"ms",256,0.0
"utils.BenchmarkRunner.sparseMultiply","avgt",1,5,"6,074429","0,092072","ms/op",256,0.5
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate","avgt",1,5,"645,455577","10,672944","MB/sec",256,0.5
"utils.BenchmarkRunner.sparseMultiply:gc.alloc.rate.norm","avgt",1,5,"7938379,908079","398,479723","B/op",256,0.5
"utils.BenchmarkRunner.sparseMultiply:gc.count","avgt",1,5,"173,000000",NaN,"counts",256,0.5
